"","Predator","Prey","Year","Mean.consump","UCI","LCI","Mean.cb","UCI.cb","LCI.cb"
"8","All predators","Atlantic mackerel (Scomber scombrus)",1973,10.9213316292304,37.0736394220078,2.06505695310484,0.0288790333259535,0.106534359610533,0.00140116348437545
"16","All predators","Atlantic mackerel (Scomber scombrus)",1974,27.7624912403681,74.9992162934371,1.87045194813166,0.183489924678779,0.509582337073963,0.0110091657391149
"24","All predators","Atlantic mackerel (Scomber scombrus)",1975,0,0,0,NA,0,0
"32","All predators","Atlantic mackerel (Scomber scombrus)",1976,0,0,0,NA,0,0
"40","All predators","Atlantic mackerel (Scomber scombrus)",1977,1.29028555808337,5.97665080090268,0.00830051503832337,0.0452472092029572,0.18589595026116,0.000298289562137574
"48","All predators","Atlantic mackerel (Scomber scombrus)",1978,0.22889720409453,0.896205708657193,0.00141628277788852,0.00596590495376826,0.0257158985548263,3.03691400532753e-05
"56","All predators","Atlantic mackerel (Scomber scombrus)",1979,0.947453093592527,4.70174929635011,0.0206508446911758,0.00390587857116118,0.0208122503912451,2.19757048066425e-05
"64","All predators","Atlantic mackerel (Scomber scombrus)",1980,0,0,0,NA,0,0
"72","All predators","Atlantic mackerel (Scomber scombrus)",1981,6.36218677404716,24.7634301676525,0.291507056049795,0.0225915177790322,0.109746082900221,0.000366505889189371
"80","All predators","Atlantic mackerel (Scomber scombrus)",1982,3.19866874063253,12.0662271034063,0.344374722056439,0.00991480474945839,0.0469347464127916,9.05353962699229e-05
"88","All predators","Atlantic mackerel (Scomber scombrus)",1983,4.33897068447023,11.4753277797286,0.766004800789535,0.0141643667768179,0.0464269515056661,0.00115580204103331
"96","All predators","Atlantic mackerel (Scomber scombrus)",1984,53.554944947243,156.990673446122,12.4855059269393,0.158878726392889,0.694181284981608,0.00888597628140183
"104","All predators","Atlantic mackerel (Scomber scombrus)",1985,19.3118995292973,78.4861815096081,1.20852921732233,0.0356498147327535,0.136210127390661,0.00201125191585389
"112","All predators","Atlantic mackerel (Scomber scombrus)",1986,31.3472232984134,101.073812999173,4.68122645045276,0.125689868320354,0.468279204236579,0.0115844916103478
"120","All predators","Atlantic mackerel (Scomber scombrus)",1987,108.237187346314,376.736292497336,16.5748679073588,0.255313707931085,0.928501638266649,0.028727053373907
"128","All predators","Atlantic mackerel (Scomber scombrus)",1988,19.629058415618,62.7092262286678,1.98092082473363,0.0649819832492028,0.306864398219891,0.00192871077814931
"136","All predators","Atlantic mackerel (Scomber scombrus)",1989,21.0211559271001,82.5012024813172,1.54001348435427,0.0823926875728212,0.328187357086425,0.00488107599594658
"144","All predators","Atlantic mackerel (Scomber scombrus)",1990,21.0816668677642,68.4720668778653,2.42077547364494,0.0507435713516627,0.206389932508268,0.00199854661748946
"152","All predators","Atlantic mackerel (Scomber scombrus)",1991,14.0492785759577,39.6669098231312,3.78588322451459,0.0252700393416377,0.101653545299838,0.00502781335238568
"160","All predators","Atlantic mackerel (Scomber scombrus)",1992,15.1600265850277,38.3636210450187,4.5916074798881,0.0260681705526262,0.0853113204471534,0.00363183219662283
"168","All predators","Atlantic mackerel (Scomber scombrus)",1993,5.27344226390416,12.7281176254777,1.41386490094066,0.0182676365618075,0.054950614585639,0.00275890306265092
"176","All predators","Atlantic mackerel (Scomber scombrus)",1994,5.62099994526857,15.2549921402009,1.42718644944307,0.0187787130977427,0.0660488697094698,0.00242864534468025
"184","All predators","Atlantic mackerel (Scomber scombrus)",1995,9.90404920164062,22.7224490729372,3.40817405680547,0.0287131956718423,0.0994849006555803,0.00415009296479426
"192","All predators","Atlantic mackerel (Scomber scombrus)",1996,35.0352571988373,103.232760459332,6.36353382881333,0.0707742859953202,0.245414029003249,0.00822490027497389
"200","All predators","Atlantic mackerel (Scomber scombrus)",1997,6.10003029825355,13.1168798200714,1.57940810387028,0.0195916745987495,0.0711595286893381,0.00266412759995165
"208","All predators","Atlantic mackerel (Scomber scombrus)",1998,16.3323954667888,38.7208441851058,7.0008212362889,0.041366660140024,0.157185922324939,0.00384306526767363
