"","Predator","Prey","Year","Mean.consump","UCI","LCI","Mean.cb","UCI.cb","LCI.cb"
"216","All predators","Atlantic mackerel (Scomber scombrus)",1999,28.0958578029833,70.552032236955,4.39236560785289,0.0699961713163891,0.209885995472636,0.00478925566522511
"224","All predators","Atlantic mackerel (Scomber scombrus)",2000,74.1383859519273,211.217283072048,18.3226636566284,0.180186029349633,0.637302264946853,0.0115427911700681
"232","All predators","Atlantic mackerel (Scomber scombrus)",2001,5.52137851464854,11.655298109316,2.03292868499969,0.0156727270680974,0.0676327892770496,0.00176305405084665
"240","All predators","Atlantic mackerel (Scomber scombrus)",2002,14.3602945686673,34.9079250634738,3.95019817347624,0.0342011809391572,0.0960698852591813,0.00500557093434391
"248","All predators","Atlantic mackerel (Scomber scombrus)",2003,6.71904422932291,17.7684748465436,1.42362867052549,0.0271156160464788,0.104573746188193,0.00243485376810717
"256","All predators","Atlantic mackerel (Scomber scombrus)",2004,6.86822636037645,18.5928717667482,2.18721124277205,0.019116019428083,0.0588135478023875,0.00174474037216894
"264","All predators","Atlantic mackerel (Scomber scombrus)",2005,20.0329807577609,77.2042609359813,2.2006245501002,0.0590314706904065,0.310451584935312,0.0039862100224147
"272","All predators","Atlantic mackerel (Scomber scombrus)",2006,101.119268110565,320.788160407229,13.9984294245477,0.188098703705935,0.70146206579077,0.029534302606573
"280","All predators","Atlantic mackerel (Scomber scombrus)",2007,9.36268060953652,46.297216870179,1.64877220597744,0.0254557022921513,0.158166299939101,0.00221578037367708
"288","All predators","Atlantic mackerel (Scomber scombrus)",2008,0.668498185476607,2.24909627063106,0.0155833336919549,0.0019987558165317,0.00715150396757936,4.8898883696213e-05
"296","All predators","Atlantic mackerel (Scomber scombrus)",2009,1.95214609171004,5.6856952162691,0.243832389222311,0.00528936408596082,0.0213853890162925,0.000249135397911705
"304","All predators","Atlantic mackerel (Scomber scombrus)",2010,5.82335508220152,17.158018290058,0.700899644024705,0.0172227716798922,0.0767597670464554,0.000382642725741272
"312","All predators","Atlantic mackerel (Scomber scombrus)",2011,3.57786814198525,14.0640418287834,0.190726096120187,0.0108065761318802,0.0490593169267517,0.00017106156564442
"320","All predators","Atlantic mackerel (Scomber scombrus)",2012,7.41380104433858,27.1604497779586,0.725133614667246,0.0110335426891792,0.0373709125274871,0.000390370366998042
"328","All predators","Atlantic mackerel (Scomber scombrus)",2013,3.73149637283019,14.8116179358145,0.44292425532047,0.00886549826760698,0.0429283602340479,0.000440210379221757
"336","All predators","Atlantic mackerel (Scomber scombrus)",2014,0.618390349108838,2.03785172761493,0.0334624718391099,0.00192503977633627,0.00716508980109152,4.74729785042328e-05
"344","All predators","Atlantic mackerel (Scomber scombrus)",2015,7.71736596990345,27.3685240670368,0.616262546236334,0.0274460575265019,0.116078739013005,0.0011450433425991
"352","All predators","Atlantic mackerel (Scomber scombrus)",2016,2.07953251366506,7.56391141468915,0.526419563125236,0.0044416948295281,0.0288112575184488,0.000160748213769116
"360","All predators","Atlantic mackerel (Scomber scombrus)",2017,11.4333097154258,41.8839128110755,1.46789731533644,0.0319305730235959,0.130668131212811,0.00138412281142145
"368","All predators","Atlantic mackerel (Scomber scombrus)",2018,3.41574134602977,8.26493485629712,1.14055957357075,0.0101476053362728,0.0548121277101576,0.000228250460098251
"376","All predators","Atlantic mackerel (Scomber scombrus)",2019,7.14542990658223,15.7892066776023,1.86401696279882,0.0150669880620295,0.0635958362193917,0.000882041653589983
"384","All predators","Atlantic mackerel (Scomber scombrus)",2020,NA,0,0,NA,0,0
"392","All predators","Atlantic mackerel (Scomber scombrus)",2021,14.7114311614381,40.0622707188313,2.07119898274054,0.0281074341115652,0.0805739756642378,0.00154975442861381
"400","All predators","Atlantic mackerel (Scomber scombrus)",2022,6.71636353406135,20.1448128934653,0.669399695275696,0.0200640791938348,0.101738933699263,0.00110474834724775
"408","All predators","Atlantic mackerel (Scomber scombrus)",2023,NA,0,0,NA,0.316156504301091,0.000414300590633249
